,code,name,network,elevation_m,site_property,geometry,X,Y
SNOTEL:918_MT_SNTL,918_MT_SNTL,Garver Creek,SNOTEL,1295,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101030202|HUD=17010103|TimeZone=-8.0|actonId=15A05S|shefId=GVRM8|stationTriplet=918:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (137895.70530797 543763.900605775),137895.70530797,543763.900605775
SNOTEL:500_MT_SNTL,500_MT_SNTL,Grave Creek,SNOTEL,1310,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101010801|HUD=17010101|TimeZone=-8.0|actonId=14A11S|shefId=GRCM8|stationTriplet=500:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (214282.8025428073 531335.650195666),214282.8025428073,531335.650195666
SNOTEL:510_MT_SNTL,510_MT_SNTL,Hand Creek,SNOTEL,1534,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102100304|HUD=17010210|TimeZone=-8.0|actonId=14A14S|shefId=HANM8|stationTriplet=510:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (204264.84944013954 464375.55040276557),204264.84944013954,464375.55040276557
SNOTEL:516_MT_SNTL,516_MT_SNTL,Hawkins Lake,SNOTEL,1965,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101050201|HUD=17010103|TimeZone=-8.0|actonId=15A03S|shefId=HAWM8|stationTriplet=516:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (128075.96695434989 544239.4370648029),128075.96695434989,544239.4370648029
SNOTEL:530_MT_SNTL,530_MT_SNTL,Hoodoo Basin,SNOTEL,1844,"{'county': 'Mineral', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102040607|HUD=17010204|TimeZone=-8.0|actonId=15C10S|shefId=HOOM8|stationTriplet=530:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (179448.29098726338 317676.41494769196),179448.29098726338,317676.41494769196
SNOTEL:562_MT_SNTL,562_MT_SNTL,Kraft Creek,SNOTEL,1447,"{'county': 'Missoula', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102110104|HUD=17010211|TimeZone=-8.0|actonId=13B22S|shefId=KRCM8|stationTriplet=562:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (277799.4762659747 361870.4501061673),277799.4762659747,361870.4501061673
SNOTEL:568_MT_SNTL,568_MT_SNTL,Lakeview Ridge,SNOTEL,2255,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1960 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200010105|HUD=10020001|TimeZone=-8.0|actonId=11E03S|shefId=LVRM8|stationTriplet=568:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (415353.9754710282 40433.2342146314),415353.9754710282,40433.2342146314
SNOTEL:576_MT_SNTL,576_MT_SNTL,Lemhi Ridge,SNOTEL,2468,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=1/1/1971 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200011106|HUD=10020001|TimeZone=-8.0|actonId=13E23S|shefId=LMHM8|stationTriplet=576:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (289125.3848084845 90503.96511087294),289125.3848084845,90503.96511087294
SNOTEL:578_MT_SNTL,578_MT_SNTL,Lick Creek,SNOTEL,2090,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1963 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200081001|HUD=10020008|TimeZone=-8.0|actonId=10D13S|shefId=LCKM8|stationTriplet=578:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (485446.32642020506 140452.9473608796),485446.32642020506,140452.9473608796
SNOTEL:590_MT_SNTL,590_MT_SNTL,Lone Mountain,SNOTEL,2706,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1988 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200080201|HUD=10020008|TimeZone=-8.0|actonId=11D19S|shefId=BSKM8|stationTriplet=590:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (448833.2604813084 115685.7412102346),448833.2604813084,115685.7412102346
SNOTEL:603_MT_SNTL,603_MT_SNTL,Lower Twin,SNOTEL,2407,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200071101|HUD=10020007|TimeZone=-8.0|actonId=11D11S|shefId=LWTM8|stationTriplet=603:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (410742.2111976588 142820.14492220676),410742.2111976588,142820.14492220676
SNOTEL:604_MT_SNTL,604_MT_SNTL,Lubrecht Flume,SNOTEL,1426,"{'county': 'Missoula', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1970 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102031204|HUD=17010203|TimeZone=-8.0|actonId=13C38S|shefId=LUBM8|stationTriplet=604:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (308949.99923956144 299673.73032958375),308949.99923956144,299673.73032958375
SNOTEL:609_MT_SNTL,609_MT_SNTL,Madison Plateau,SNOTEL,2362,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200070204|HUD=10020007|TimeZone=-8.0|actonId=11E31S|shefId=MPLM8|stationTriplet=609:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (471622.2249346109 38701.69892730923),471622.2249346109,38701.69892730923
SNOTEL:613_MT_SNTL,613_MT_SNTL,Many Glacier,SNOTEL,1493,"{'county': 'Glacier', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=090400010201|HUD=10010002|TimeZone=-8.0|actonId=13A27S|shefId=MANM8|stationTriplet=613:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (293779.5910982502 513446.06484886707),293779.5910982502,513446.06484886707
SNOTEL:254_MT_SNTL,254_MT_SNTL,Maynard Creek,SNOTEL,1892,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1960 12:00:00 AM|endDate=10/1/2003 12:00:00 AM|HUC=100200080801|HUD=10020008|TimeZone=-8.0|actonId=|shefId=MYDM8|stationTriplet=254:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (491242.0845274787 175081.54974404204),491242.0845274787,175081.54974404204
SNOTEL:1287_MT_SNTL,1287_MT_SNTL,Mom Creek,SNOTEL,2682,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/13/2017 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200011202|HUD=|TimeZone=-8.0|actonId=|shefId=|stationTriplet=1287:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (313335.3543584019 65171.8774142521),313335.3543584019,65171.8774142521
SNOTEL:635_MT_SNTL,635_MT_SNTL,Monument Peak,SNOTEL,2697,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700020902|HUD=10070002|TimeZone=-8.0|actonId=10D12S|shefId=MNPM8|stationTriplet=635:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (542118.29547989 107816.83881308982),542118.29547989,107816.83881308982
SNOTEL:646_MT_SNTL,646_MT_SNTL,Moss Peak,SNOTEL,2066,"{'county': 'Lake', 'state': 'Montana', 'site_comments': 'beginDate=4/1/1961 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102080404|HUD=17010211|TimeZone=-8.0|actonId=13B24S|shefId=MSPM8|stationTriplet=646:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (265338.0276486643 391217.14962525654),265338.0276486643,391217.14962525654
SNOTEL:649_MT_SNTL,649_MT_SNTL,Mount Lockhart,SNOTEL,1950,"{'county': 'Teton', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100302050102|HUD=10030104|TimeZone=-8.0|actonId=12B12S|shefId=MTKM8|stationTriplet=649:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (351758.3914912696 412769.51775309135),351758.3914912696,412769.51775309135
SNOTEL:656_MT_SNTL,656_MT_SNTL,Mule Creek,SNOTEL,2529,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200041303|HUD=10020004|TimeZone=-8.0|actonId=12D11S|shefId=MULM8|stationTriplet=656:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (329345.8399259546 134854.59906275084),329345.8399259546,134854.59906275084
SNOTEL:657_MT_SNTL,657_MT_SNTL,N Fk Elk Creek,SNOTEL,1905,"{'county': 'Powell', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102031204|HUD=17010203|TimeZone=-8.0|actonId=13C31S|shefId=NFEM8|stationTriplet=657:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (312315.3840153123 298250.11905869836),312315.3840153123,298250.11905869836
SNOTEL:659_MT_SNTL,659_MT_SNTL,Nevada Creek,SNOTEL,1975,"{'county': 'Lewis and Clark', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1977 12:00:00 AM|endDate=10/12/1999 12:00:00 AM|HUC=170102030401|HUD=17010203|TimeZone=-8.0|actonId=12C21S|shefId=NEVM8|stationTriplet=659:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (370047.1493930981 291488.64811227756),370047.1493930981,291488.64811227756
SNOTEL:903_MT_SNTL,903_MT_SNTL,Nevada Ridge,SNOTEL,2139,"{'county': 'Lewis and Clark', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102030302|HUD=17010203|TimeZone=-8.0|actonId=12C22S|shefId=NVRM8|stationTriplet=903:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (370755.80092831166 292463.1740493578),370755.80092831166,292463.1740493578
SNOTEL:662_MT_SNTL,662_MT_SNTL,Nez Perce Camp,SNOTEL,1722,"{'county': 'Ravalli', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102050204|HUD=17010205|TimeZone=-8.0|actonId=14D02S|shefId=NZCM8|stationTriplet=662:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (212710.4040318972 176917.2091768903),212710.4040318972,176917.2091768903
SNOTEL:664_MT_SNTL,664_MT_SNTL,Noisy Basin,SNOTEL,1840,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=4/1/1961 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102080208|HUD=17010209|TimeZone=-8.0|actonId=13A25S|shefId=NOIM8|stationTriplet=664:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (269506.7275287601 443504.2023249305),269506.7275287601,443504.2023249305
SNOTEL:667_MT_SNTL,667_MT_SNTL,North Fork Jocko,SNOTEL,1929,"{'county': 'Missoula', 'state': 'Montana', 'site_comments': 'beginDate=4/1/1961 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102120702|HUD=17010212|TimeZone=-8.0|actonId=13B07S|shefId=NFJM8|stationTriplet=667:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (278293.34404950263 344607.601647504),278293.34404950263,344607.601647504
SNOTEL:670_MT_SNTL,670_MT_SNTL,Northeast Entrance,SNOTEL,2240,"{'county': 'Yellowstone National Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1937 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700010602|HUD=10070001|TimeZone=-8.0|actonId=10D07S|shefId=NORM8|stationTriplet=670:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (559472.3307079732 84125.22067403753),559472.3307079732,84125.22067403753
SNOTEL:1008_MT_SNTL,1008_MT_SNTL,Onion Park,SNOTEL,2258,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1992 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100301030801|HUD=10030103|TimeZone=-8.0|actonId=10C22S|shefId=ONPM8|stationTriplet=1008:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (496952.1663790897 296855.1300242494),496952.1663790897,296855.1300242494
SNOTEL:930_MT_SNTL,930_MT_SNTL,Peterson Meadows,SNOTEL,2194,"{'county': 'Granite', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1965 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102020101|HUD=17010202|TimeZone=-8.0|actonId=13C36S|shefId=PTNM8|stationTriplet=930:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (305955.09632538643 215612.5581963898),305955.09632538643,215612.5581963898
SNOTEL:690_MT_SNTL,690_MT_SNTL,Pickfoot Creek,SNOTEL,2026,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=6/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100301030501|HUD=10030103|TimeZone=-8.0|actonId=11C02S|shefId=PCKM8|stationTriplet=690:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (464547.97176074935 260419.9784212252),464547.97176074935,260419.9784212252
SNOTEL:693_MT_SNTL,693_MT_SNTL,Pike Creek,SNOTEL,1807,"{'county': 'Pondera', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1960 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100302010103|HUD=10030201|TimeZone=-8.0|actonId=13A26S|shefId=PICM8|stationTriplet=693:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (316173.807519435 457317.68538472604),316173.807519435,457317.68538472604
SNOTEL:696_MT_SNTL,696_MT_SNTL,Placer Basin,SNOTEL,2691,"{'county': 'Sweet Grass', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700020701|HUD=10070002|TimeZone=-8.0|actonId=10D24S|shefId=PLCM8|stationTriplet=696:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (553953.6415739905 130103.19162741369),553953.6415739905,130103.19162741369
SNOTEL:932_MT_SNTL,932_MT_SNTL,Poorman Creek,SNOTEL,1554,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101011301|HUD=17010101|TimeZone=-8.0|actonId=15A12S|shefId=PMNM8|stationTriplet=932:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (144818.9465210769 448581.49914521584),144818.9465210769,448581.49914521584
SNOTEL:700_MT_SNTL,700_MT_SNTL,Porcupine,SNOTEL,1981,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1975 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030303|HUD=10070003|TimeZone=-8.0|actonId=10C03S|shefId=PRPM8|stationTriplet=700:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (525081.6686877897 207376.02045651607),525081.6686877897,207376.02045651607
SNOTEL:722_MT_SNTL,722_MT_SNTL,Rocker Peak,SNOTEL,2438,"{'county': 'Jefferson', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200060302|HUD=10020006|TimeZone=-8.0|actonId=12C11S|shefId=RKPM8|stationTriplet=722:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (387601.14423626283 237788.5837335263),387601.14423626283,237788.5837335263
SNOTEL:917_MT_SNTL,917_MT_SNTL,Rocky Boy,SNOTEL,1432,"{'county': 'Hill', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100500040101|HUD=10050004|TimeZone=-8.0|actonId=09A01S|shefId=ROCM8|stationTriplet=917:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (589050.9122183117 436132.17913358245),589050.9122183117,436132.17913358245
SNOTEL:725_MT_SNTL,725_MT_SNTL,S Fork Shields,SNOTEL,2468,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030301|HUD=10070003|TimeZone=-8.0|actonId=10C08S|shefId=SFSM8|stationTriplet=725:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (527830.9005851543 204862.71139234366),527830.9005851543,204862.71139234366
SNOTEL:929_MT_SNTL,929_MT_SNTL,Sacajawea,SNOTEL,1996,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=9/30/1999 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030403|HUD=10070003|TimeZone=-8.0|actonId=10D10S|shefId=SAJM8|stationTriplet=929:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (489196.22287974384 181483.70296994774),489196.22287974384,181483.70296994774
SNOTEL:727_MT_SNTL,727_MT_SNTL,Saddle Mtn.,SNOTEL,2420,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102050502|HUD=17010205|TimeZone=-8.0|actonId=13D22S|shefId=SDMM8|stationTriplet=727:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (252269.48364829272 170244.72102764802),252269.48364829272,170244.72102764802
SNOTEL:753_MT_SNTL,753_MT_SNTL,Short Creek,SNOTEL,2133,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200030106|HUD=10020003|TimeZone=-8.0|actonId=11E39S|shefId=SHCM8|stationTriplet=753:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (406602.97509042633 83693.61071550501),406602.97509042633,83693.61071550501
SNOTEL:754_MT_SNTL,754_MT_SNTL,Shower Falls,SNOTEL,2468,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1964 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200081001|HUD=10020008|TimeZone=-8.0|actonId=10D16S|shefId=SHFM8|stationTriplet=754:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (485910.7169511164 129014.02684904108),485910.7169511164,129014.02684904108
SNOTEL:758_MT_SNTL,758_MT_SNTL,Silver Run,SNOTEL,2020,"{'county': 'Carbon', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1975 12:00:00 AM|endDate=10/8/1998 12:00:00 PM|HUC=100700060904|HUD=10070006|TimeZone=-8.0|actonId=09D18S|shefId=SILM8|stationTriplet=758:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (611795.2148675494 100045.09953361159),611795.2148675494,100045.09953361159
SNOTEL:760_MT_SNTL,760_MT_SNTL,Skalkaho Summit,SNOTEL,2209,"{'county': 'Granite', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102021003|HUD=17010202|TimeZone=-8.0|actonId=13C03S|shefId=SKAM8|stationTriplet=760:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (270818.55415207404 230357.60174397146),270818.55415207404,230357.60174397146
SNOTEL:255_MT_SNTL,255_MT_SNTL,Skylark Trail,SNOTEL,1889,"{'county': 'Missoula', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1977 12:00:00 AM|endDate=2/1/1992 12:00:00 AM|HUC=170102110102|HUD=17010211|TimeZone=-8.0|actonId=|shefId=SKLM8|stationTriplet=255:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (276813.730416981 355156.1630264546),276813.730416981,355156.1630264546
SNOTEL:1286_MT_SNTL,1286_MT_SNTL,Slagamelt Lakes,SNOTEL,2627,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=9/14/2017 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200040308|HUD=|TimeZone=-8.0|actonId=|shefId=|stationTriplet=1286:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (269743.0845599014 132848.9518454185),269743.0845599014,132848.9518454185
SNOTEL:783_MT_SNTL,783_MT_SNTL,Sleeping Woman,SNOTEL,1874,"{'county': 'Sanders', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1988 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102120708|HUD=17010212|TimeZone=-8.0|actonId=14B05S|shefId=SQPM8|stationTriplet=783:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (234052.82366263168 336762.77067058044),234052.82366263168,336762.77067058044
SNOTEL:781_MT_SNTL,781_MT_SNTL,Spur Park,SNOTEL,2468,"{'county': 'Judith Basin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100401030301|HUD=10040103|TimeZone=-8.0|actonId=10C06S|shefId=SPRM8|stationTriplet=781:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (514395.8495089676 281705.93681475316),514395.8495089676,281705.93681475316
SNOTEL:787_MT_SNTL,787_MT_SNTL,Stahl Peak,SNOTEL,1837,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101010801|HUD=17010101|TimeZone=-8.0|actonId=14A12S|shefId=STAM8|stationTriplet=787:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (207195.20382694795 531202.9322978863),207195.20382694795,531202.9322978863
