,code,name,network,elevation_m,site_property,geometry,X,Y
SNOTEL:365_MT_SNTL,365_MT_SNTL,Brackett Creek,SNOTEL,2231,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1992 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030403|HUD=10020008|TimeZone=-8.0|actonId=10D35S|shefId=BRCM8|stationTriplet=365:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (488402.95291389566 183400.65985126272),488402.9529,183400.6599
SNOTEL:929_MT_SNTL,929_MT_SNTL,Sacajawea,SNOTEL,1996,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=9/30/1999 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030403|HUD=10070003|TimeZone=-8.0|actonId=10D10S|shefId=SAJM8|stationTriplet=929:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (489196.22287974384 181483.70296994774),489196.2229,181483.703
